Brand,PromoBin,Volume,Weeks,CentroidPct,Volume%,Vol/Week
heinz_allvariant,heinz_allvariant_medium_Promo1,1853177.82,165,1.9363636363636363,79.2,11231.4
heinz_allvariant,heinz_allvariant_medium_Promo2,486073.585,28,20.6,20.8,17359.8
pl std_allvariant,pl std_allvariant_medium_Promo1,1033265.455,123,0.04439024390243903,54.3,8400.5
pl std_allvariant,pl std_allvariant_medium_Promo2,832021.6,67,0.94,43.7,12418.2
pl std_allvariant,pl std_allvariant_medium_Promo3,39084.65,3,4.51,2.1,13028.2
pl value_allvariant,pl value_allvariant_medium_Promo1,85937.28,85,0.31623529411764706,100.0,1011.0
pl value_allvariant,pl value_allvariant_medium_Promo2,25.08,6,11.19,0.0,4.2
pl value_allvariant,pl value_allvariant_medium_Promo3,3.52,1,40.52,0.0,3.5
restofcategory_allvariant,restofcategory_allvariant_medium_Promo1,28412.065,169,4.231952662721893,80.1,168.1
restofcategory_allvariant,restofcategory_allvariant_medium_Promo2,7063.75,24,62.98,19.9,294.3
