Date,Brand,PPG,D1,Channel,Volume,Sales NSV,Sales Tax,Variant,BasePrice,Price,Trend,Weekend,Year,Month,Week,SalesValue
2023-03-20,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,7,0,2023,3,12,0.0
2023-03-21,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,7,0,2023,3,12,0.0
2023-03-22,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,0,2023,3,12,0.0
2023-03-23,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,0,2023,3,12,0.0
2023-03-24,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,0,2023,3,12,0.0
2023-03-25,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,1,2023,3,12,0.0
2023-03-26,999.0,athleisure,0.0629469099786175,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,1,2023,3,12,0.0
2023-03-27,999.0,athleisure,0.1471024002325751,MINIMETRO,2.0,1626.7800000000002,81.32,AllVariant,999.0,854.0500000000001,8,0,2023,3,13,1708.1
2023-03-28,999.0,athleisure,0.1471024002325751,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,854.0500000000001,8,0,2023,3,13,0.0
2023-03-29,999.0,athleisure,0.1471024002325751,MINIMETRO,5.0,4191.87,209.56,AllVariant,999.0,880.2860000000001,9,0,2023,3,13,4401.43
2023-03-30,999.0,athleisure,0.1471024002325751,MINIMETRO,6.0,4808.32,240.38,AllVariant,999.0,841.4499999999999,9,0,2023,3,13,5048.7
2023-03-31,999.0,athleisure,0.1471024002325751,MINIMETRO,0.0,0.0,0.0,AllVariant,999.0,841.4499999999999,9,0,2023,3,13,0.0
2023-04-01,999.0,athleisure,0.1471024002325751,MINIMETRO,2.0,1626.78,81.32,AllVariant,999.0,854.05,9,1,2023,4,13,1708.1
2023-04-02,999.0,athleisure,0.1471024002325751,MINIMETRO,1.0,856.2,42.8,AllVariant,999.0,899.0,9,1,2023,4,13,899.0
2023-04-03,999.0,athleisure,0.2076621720352558,MINIMETRO,5.0,4195.38,209.72,AllVariant,999.0,881.0200000000001,9,0,2023,4,14,4405.1
2023-04-04,999.0,athleisure,0.2076621720352558,MINIMETRO,3.0,2568.6000000000004,128.39999999999998,AllVariant,999.0,899.0000000000001,9,0,2023,4,14,2697.0000000000005
2023-04-05,999.0,athleisure,0.2076621720352558,MINIMETRO,1.0,856.2,42.8,AllVariant,999.0,899.0,10,0,2023,4,14,899.0
2023-04-06,999.0,athleisure,0.2076621720352558,MINIMETRO,2.0,1626.7800000000002,81.32,AllVariant,999.0,854.0500000000001,10,0,2023,4,14,1708.1
2023-04-07,999.0,athleisure,0.2076621720352558,MINIMETRO,7.0,5813.17,290.6,AllVariant,999.0,871.9671428571429,10,0,2023,4,14,6103.77
2023-04-08,999.0,athleisure,0.2076621720352558,MINIMETRO,5.0,4107.25,205.32,AllVariant,999.0,862.5139999999999,10,1,2023,4,14,4312.57
2023-04-09,999.0,athleisure,0.2076621720352558,MINIMETRO,7.0,5907.780000000001,295.32,AllVariant,999.0,886.157142857143,10,1,2023,4,14,6203.1
2023-04-10,999.0,athleisure,0.5170089909034221,MINIMETRO,1.0,856.2,42.8,AllVariant,999.0,899.0,10,0,2023,4,15,899.0
2023-04-11,999.0,athleisure,0.5170089909034221,MINIMETRO,6.0,4700.71,235.02,AllVariant,999.0,822.6216666666668,10,0,2023,4,15,4935.7300000000005
2023-04-12,999.0,athleisure,0.5170089909034221,MINIMETRO,10.0,7788.55,389.34,AllVariant,999.0,817.789,11,0,2023,4,15,8177.89
2023-04-13,999.0,athleisure,0.5170089909034221,MINIMETRO,7.0,5576.9800000000005,278.82,AllVariant,999.0,836.5428571428572,11,0,2023,4,15,5855.8
2023-04-14,999.0,athleisure,0.4981238079065447,MINIMETRO,9.0,7298.75,364.88,AllVariant,999.0,851.5144444444445,11,0,2023,4,15,7663.63
2023-04-15,999.0,athleisure,0.4943634120236852,MINIMETRO,10.0,8247.95,412.3,AllVariant,999.0,866.025,11,1,2023,4,15,8660.25
2023-04-16,999.0,athleisure,0.4540394022964422,MINIMETRO,11.0,8808.57,440.38,AllVariant,999.0,840.8136363636363,11,1,2023,4,15,9248.95
2023-04-17,999.0,athleisure,0.5170089909034221,MINIMETRO,7.0,5521.56,276.04,AllVariant,999.0,828.2285714285715,11,0,2023,4,16,5797.6
2023-04-18,999.0,athleisure,0.5170089909034221,MINIMETRO,9.0,7453.66,372.6,AllVariant,999.0,869.5844444444444,11,0,2023,4,16,7826.26
2023-04-19,999.0,athleisure,0.4766849811761791,MINIMETRO,8.0,6592.74,329.56,AllVariant,999.0,865.2875,12,0,2023,4,16,6922.3
2023-04-20,999.0,athleisure,0.4766849811761791,MINIMETRO,12.0,9154.45,457.7,AllVariant,999.0,801.0125000000002,12,0,2023,4,16,9612.15
2023-04-21,999.0,athleisure,0.4766849811761791,MINIMETRO,10.0,7772.91,388.64,AllVariant,999.0,816.155,12,0,2023,4,16,8161.55
2023-04-22,999.0,athleisure,0.4766849811761791,MINIMETRO,18.0,13777.49,688.88,AllVariant,999.0,803.6872222222222,12,1,2023,4,16,14466.37
2023-04-23,999.0,athleisure,0.4132556652412857,MINIMETRO,13.0,9853.51,492.66,AllVariant,999.0,795.8592307692307,12,1,2023,4,16,10346.17
2023-04-24,999.0,athleisure,0.4564342606749576,MINIMETRO,3.0,2452.2,122.6,AllVariant,999.0,858.2666666666665,12,0,2023,4,17,2574.8
2023-04-25,999.0,athleisure,0.4564342606749576,MINIMETRO,13.0,9337.1,466.88,AllVariant,999.0,754.1523076923077,12,0,2023,4,17,9803.98
2023-04-26,999.0,athleisure,0.4564342606749576,MINIMETRO,5.0,3989.7,199.46,AllVariant,999.0,837.832,13,0,2023,4,17,4189.16
2023-04-27,999.0,athleisure,0.4564342606749576,MINIMETRO,8.0,6574.58,328.66,AllVariant,999.0,862.905,13,0,2023,4,17,6903.24
2023-04-28,999.0,athleisure,0.4564342606749576,MINIMETRO,8.0,6763.9800000000005,338.12,AllVariant,999.0,887.7625,13,0,2023,4,17,7102.1
2023-04-29,999.0,athleisure,0.4564342606749576,MINIMETRO,10.0,8076.89,403.76,AllVariant,999.0,848.0649999999999,13,1,2023,4,17,8480.65
2023-04-30,999.0,athleisure,0.4313674244408629,MINIMETRO,14.0,11558.7,577.8,AllVariant,999.0,866.8928571428571,13,1,2023,4,17,12136.5
2023-05-01,999.0,athleisure,0.460944130656899,MINIMETRO,13.0,10546.75,527.24,AllVariant,999.0,851.8453846153845,13,0,2023,5,18,11073.99
2023-05-02,999.0,athleisure,0.4420144977195261,MINIMETRO,6.0,4827.95,241.36,AllVariant,999.0,844.8849999999999,13,0,2023,5,18,5069.31
2023-05-03,999.0,athleisure,0.4420144977195261,MINIMETRO,9.0,7163.68,358.12,AllVariant,999.0,835.7555555555556,14,0,2023,5,18,7521.8
2023-05-04,999.0,athleisure,0.4420144977195261,MINIMETRO,1.0,770.58,38.52,AllVariant,999.0,809.1,14,0,2023,5,18,809.1
2023-05-05,999.0,athleisure,0.4420144977195261,MINIMETRO,10.0,8305.140000000001,415.16,AllVariant,999.0,872.0300000000001,14,0,2023,5,18,8720.300000000001
2023-05-06,999.0,athleisure,0.4345177753264455,MINIMETRO,4.0,3424.8,171.2,AllVariant,999.0,899.0,14,1,2023,5,18,3596.0
2023-05-07,999.0,athleisure,0.4265944194141771,MINIMETRO,10.0,8558.74,427.82,AllVariant,999.0,898.656,14,1,2023,5,18,8986.56
2023-05-08,999.0,athleisure,0.4977855761424514,MINIMETRO,3.0,2425.9700000000003,121.28,AllVariant,999.0,849.0833333333335,14,0,2023,5,19,2547.2500000000005
2023-05-09,999.0,athleisure,0.4977855761424514,MINIMETRO,8.0,6592.740000000001,329.56,AllVariant,999.0,865.2875000000001,14,0,2023,5,19,6922.300000000001
2023-05-10,999.0,athleisure,0.4977855761424514,MINIMETRO,5.0,4024.14,201.16,AllVariant,999.0,845.0600000000001,15,0,2023,5,19,4225.3
2023-05-11,999.0,athleisure,0.4977855761424514,MINIMETRO,2.0,1712.4,85.6,AllVariant,999.0,899.0,15,0,2023,5,19,1798.0
2023-05-12,999.0,athleisure,0.4977855761424514,MINIMETRO,7.0,5993.400000000001,299.6,AllVariant,999.0,899.0000000000001,15,0,2023,5,19,6293.000000000001
2023-05-13,999.0,athleisure,0.4913073047442803,MINIMETRO,4.0,3152.62,157.6,AllVariant,999.0,827.555,15,1,2023,5,19,3310.22
2023-05-14,999.0,athleisure,0.4913073047442803,MINIMETRO,12.0,9614.0,480.6,AllVariant,999.0,841.2166666666667,15,1,2023,5,19,10094.6
2023-05-15,999.0,athleisure,0.5054572194247984,MINIMETRO,4.0,3339.1800000000003,166.92,AllVariant,999.0,876.5250000000001,15,0,2023,5,20,3506.1000000000004
2023-05-16,999.0,athleisure,0.5054572194247984,MINIMETRO,6.0,4866.66,243.28,AllVariant,999.0,851.6566666666666,15,0,2023,5,20,5109.94
2023-05-17,999.0,athleisure,0.5054572194247984,MINIMETRO,4.0,3424.8,171.2,AllVariant,999.0,899.0,16,0,2023,5,20,3596.0
2023-05-18,999.0,athleisure,0.5054572194247984,MINIMETRO,7.0,5736.54,286.76,AllVariant,999.0,860.4714285714286,16,0,2023,5,20,6023.3
2023-05-19,999.0,athleisure,0.4979604970317179,MINIMETRO,8.0,6592.74,329.56,AllVariant,999.0,865.2875,16,0,2023,5,20,6922.3
2023-05-20,999.0,athleisure,0.4919090956496286,MINIMETRO,16.0,12276.42,613.8199999999999,AllVariant,999.0,805.64,16,1,2023,5,20,12890.24
2023-05-21,999.0,athleisure,0.4853246604909449,MINIMETRO,16.0,12166.06,608.3199999999999,AllVariant,999.0,798.39875,16,1,2023,5,20,12774.38
2023-05-22,999.0,athleisure,0.4808948851534836,MINIMETRO,6.0,4550.55,227.5,AllVariant,999.0,796.3416666666667,16,0,2023,5,21,4778.05
2023-05-23,999.0,athleisure,0.4742930434279879,MINIMETRO,10.0,7867.98,393.38,AllVariant,999.0,826.1359999999999,16,0,2023,5,21,8261.359999999999
2023-05-24,999.0,athleisure,0.4705326475451283,MINIMETRO,15.0,11407.28,570.38,AllVariant,999.0,798.5106666666667,17,0,2023,5,21,11977.66
2023-05-25,999.0,athleisure,0.4645369175359948,MINIMETRO,6.0,4631.87,231.6,AllVariant,999.0,810.5783333333334,17,0,2023,5,21,4863.47
2023-05-26,999.0,athleisure,0.4599651552409883,MINIMETRO,4.0,3160.71,158.0,AllVariant,999.0,829.6775,17,0,2023,5,21,3318.71
2023-05-27,999.0,athleisure,0.4599651552409883,MINIMETRO,6.0,4437.22,221.84,AllVariant,999.0,776.5100000000001,17,1,2023,5,21,4659.06
2023-05-28,999.0,athleisure,0.4490662542948523,MINIMETRO,8.0,6197.33,309.84,AllVariant,999.0,813.39625,17,1,2023,5,21,6507.17
2023-05-29,999.0,athleisure,0.4490662542948523,MINIMETRO,4.0,3132.05,156.57999999999998,AllVariant,999.0,822.1575,17,0,2023,5,22,3288.63
2023-05-30,999.0,athleisure,0.4490662542948523,MINIMETRO,7.0,5484.6,274.22,AllVariant,999.0,822.6885714285715,17,0,2023,5,22,5758.820000000001
2023-05-31,999.0,athleisure,0.4400931953347755,MINIMETRO,5.0,3769.12,188.46,AllVariant,999.0,791.516,18,0,2023,5,22,3957.58
2023-06-01,999.0,athleisure,0.432596472941695,MINIMETRO,7.0,5364.53,268.22,AllVariant,999.0,804.6785714285714,18,0,2023,6,22,5632.75
2023-06-02,999.0,athleisure,0.4265450715596058,MINIMETRO,6.0,4817.26,240.84,AllVariant,999.0,843.0166666666668,18,0,2023,6,22,5058.1
2023-06-03,999.0,athleisure,0.420060931433083,MINIMETRO,8.0,6029.52,301.46,AllVariant,999.0,791.3725000000001,18,1,2023,6,22,6330.9800000000005
2023-06-04,999.0,athleisure,0.4067994932296276,MINIMETRO,23.0,17931.9,896.52,AllVariant,999.0,818.6269565217392,18,1,2023,6,22,18828.42
2023-06-05,999.0,athleisure,0.3968941775647738,MINIMETRO,4.0,3032.37,151.62,AllVariant,999.0,795.9975,18,0,2023,6,23,3183.99
2023-06-06,999.0,athleisure,0.3884442660637697,MINIMETRO,3.0,2442.36,122.1,AllVariant,999.0,854.82,18,0,2023,6,23,2564.46
2023-06-07,999.0,athleisure,0.3884442660637697,MINIMETRO,11.0,8563.5,428.1,AllVariant,999.0,817.4181818181819,19,0,2023,6,23,8991.6
2023-06-08,999.0,athleisure,0.3779531729063567,MINIMETRO,5.0,4120.530000000001,205.98,AllVariant,999.0,865.302,19,0,2023,6,23,4326.51
2023-06-09,999.0,athleisure,0.3518918055343479,MINIMETRO,2.0,1604.93,80.24,AllVariant,999.0,842.585,19,0,2023,6,23,1685.17
2023-06-10,999.0,athleisure,0.3596876003529929,MINIMETRO,7.0,5269.94,263.5,AllVariant,999.0,790.4914285714285,19,1,2023,6,23,5533.44
2023-06-11,999.0,athleisure,0.3596876003529929,MINIMETRO,10.0,7791.52,389.54,AllVariant,999.0,818.106,19,1,2023,6,23,8181.06
2023-06-12,999.0,athleisure,0.3618003323294656,MINIMETRO,6.0,4625.4800000000005,231.26,AllVariant,999.0,809.4566666666668,19,0,2023,6,24,4856.740000000001
2023-06-13,999.0,athleisure,0.3618003323294656,MINIMETRO,8.0,6412.150000000001,320.6,AllVariant,999.0,841.5937500000001,19,0,2023,6,24,6732.750000000001
