"Market","Channel","Region","Category","SubCategory","Brand","Variant","PackType","PPG","PackSize","Year","Month","Week","Date","BrCatId","SalesValue","Volume","VolumeUnits","D1","D2","D3","D4","D5","D6","AV1","AV2","AV3","AV4","AV5","AV6","EV1","EV2","EV3","EV4","EV5","EV6","PrepDate","ProjCode"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,1,1,"2021-01-02","Brand",69251.12,18858.58,33085,97.8631528125395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,1,2,"2021-01-09","Brand",93339.9,26600.76,46668,98.8811036039729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,1,3,"2021-01-16","Brand",92488.26,26364.24,46251,99.1682339545157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,1,4,"2021-01-23","Brand",61315.65,16088.64,28225,98.6915940890834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,1,5,"2021-01-30","Brand",43375.6,10277.67,18031,97.1075190719086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,2,6,"2021-02-06","Brand",42812.88,10143.1,17794,96.9379457737341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,2,7,"2021-02-13","Brand",74686.35,20299.98,35614,99.1756225153157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,2,8,"2021-02-20","Brand",92610.25,26388.72,46296,99.3697833047501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,2,9,"2021-02-27","Brand",82602.2,23534.16,41288,99.4451199310491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,3,10,"2021-03-06","Brand",55914.25,14576.61,25573,98.6712758737405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,3,11,"2021-03-13","Brand",47831.85,11333.31,19883,96.8081452588919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,3,12,"2021-03-20","Brand",46383.87,10991.31,19283,96.7655602469131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,3,13,"2021-03-27","Brand",77327.35,20995.38,36834,99.1673132620702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,4,14,"2021-04-03","Brand",99024.45,28220.7,49510,99.266341062705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,4,15,"2021-04-10","Brand",97730.99,27848.49,48857,99.2789368794508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,4,16,"2021-04-17","Brand",61134.9,16076.85,28205,98.9494340444941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,4,17,"2021-04-24","Brand",45195.5,10712.01,18793,97.2989475039989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,5,18,"2021-05-01","Brand",46210.05,10950.84,19212,97.2010915630355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,5,19,"2021-05-08","Brand",80476.5,21742.08,38144,99.39434781932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,5,20,"2021-05-15","Brand",86197.6,24565.86,43098,99.2967810944161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,5,21,"2021-05-22","Brand",85725.2,24427.92,42856,99.1907613075042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,5,22,"2021-05-29","Brand",59307.1,15614.58,27394,98.8085234295506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,6,23,"2021-06-05","Brand",57689.85,13671.45,23985,98.3582050566151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,6,24,"2021-06-12","Brand",46645.45,11056.29,19397,97.2754735781149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,6,25,"2021-06-19","Brand",78317.67,21096.84,37012,99.1388514854803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,6,26,"2021-06-26","Brand",92327.05,26308.92,46156,99.378458111844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,27,"2021-07-03","Brand",90433.2,25767.42,45206,99.2393099283922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,28,"2021-07-10","Brand",88386.8,25183.74,44182,99.1342211416257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,29,"2021-07-17","Brand",62836.05,16525.44,28992,98.8502875095882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,30,"2021-07-24","Brand",47933.82,11357.82,19926,97.1021426664645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,31,"2021-07-31","Brand",48670.67,11539.65,20245,96.9976321829561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,32,"2021-08-07","Brand",78318.04,21147.57,37101,99.2434631221877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,33,"2021-08-14","Brand",93336.4,26596.77,46661,99.3294223773146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,34,"2021-08-21","Brand",97817.55,27879.825,48912,99.3203754330799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,35,"2021-08-28","Brand",67196,17710.47,31071,98.8084782662117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,36,"2021-09-04","Brand",52464.1,12433.41,21813,96.9736304172452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,37,"2021-09-11","Brand",47698.25,11305.95,19835,97.5227583890583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,38,"2021-09-18","Brand",80194.95,21722.13,38109,99.2315911927901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
